osm_id,name,amenity_type,amenity,wheelchair,toilets:wheelchair,opening_hours,operator,description,is_accessible,latitude,longitude
way/1337620622,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.9281031,145.1043873
way/1337620623,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.9277043,145.1044606
way/1337620627,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.9288629,145.1042477
way/1337620633,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.9310526,145.1036773
way/1337677674,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8240994,145.189601
way/1337677686,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8240993,145.1896741
way/1338136118,Little Penguin ELC,wheelchair_accessible_place,kindergarten,yes,,Mo-Fr 07:00-18:00,Little Penguin Kilsyth Pty Ltd,,True,-37.8010879,145.3204971
way/1338137605,Natural Wonders Early Learning Kilsyth,wheelchair_accessible_place,kindergarten,yes,,Mo-Fr 06:30-18:30,Nicyle Pty Ltd,,True,-37.8026467,145.3229806
way/1338164933,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7865568,145.1254692
way/1338211966,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8336853,144.9721331
way/1338509567,Magnolia Boulevard Medical Clinic,wheelchair_accessible_place,clinic,yes,,"Mo-Tu,Th-Fr 09:30-16:00; We,Sa 09:30-12:00",,,True,-37.6465029,144.9157416
way/1339189122,Wheelchair Accessible Place,wheelchair_accessible_place,toilets,yes,,,,,True,-37.85739,144.9027027
node/1339244621,Olinda Tea House,wheelchair_accessible_place,restaurant,yes,,"Mo, We, Th 10:00-21:00; Fr-Su 10:00-22:00",,,True,-37.8608726,145.3757937
way/1339980395,Wheelchair Accessible Place,wheelchair_accessible_place,toilets,yes,,,,,True,-37.8665613,144.7708816
way/1342193317,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8770916,144.6166953
way/1343266919,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7570831,145.3128413
way/1343266920,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7570743,145.3127498
way/1343266922,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7570065,145.3130049
way/1343266923,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7571398,145.3134272
way/1343266924,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7572705,145.3137012
way/1343268496,Wheelchair Accessible Place,wheelchair_accessible_place,toilets,yes,,,,,True,-37.7574839,145.3133097
node/1345448685,ifone haven,wheelchair_accessible_place,,yes,,Mo-Fr 10:00-17:00,,,True,-38.1710317,145.1575568
node/1345448687,Bottlemart Express,wheelchair_accessible_place,,yes,,"Mo-Th 07:00-20:00; Fr,Sa 07:00-21:00; Su 08:00-20:00",,,True,-38.1711013,145.1575032
node/1345448689,Manu's Kiwi Twist Bakery,wheelchair_accessible_place,,yes,,"Mo,We-Sa 09:00-17:00; Su 09:00-14:00",,,True,-38.1709379,145.1576458
way/1346820504,Wyndham Lodge,wheelchair_accessible_place,social_facility,yes,,,Baptcare,,True,-37.9066375,144.6533211
way/1346841607,Wheelchair Accessible Place,wheelchair_accessible_place,toilets,yes,,,,,True,-37.9237797,145.3373854
way/1349144642,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7572301,145.31347
way/1349144643,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7572575,145.31347
way/1349146024,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7570436,145.3124618
way/1349369128,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8106459,144.9656492
node/1350261372,Art Centre Car Park,wheelchair_accessible_place,parking,yes,,,,,True,-37.8222929,144.9680312
way/1350388115,Murphy USA,wheelchair_accessible_place,fuel,yes,yes,Mo-Sa 05:00-23:30; Su 05:30-22:30,Murphy USA,,True,28.1714917,-80.6723869
way/1351679296,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7859772,145.3137514
way/1351679297,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.786039,145.3138791
way/1351685550,Wintringham Hostel,wheelchair_accessible_place,social_facility,yes,,,,,True,-37.8377429,144.9328766
way/1352504096,Joan Walk,wheelchair_accessible_place,,yes,,,,,True,-37.8014716,144.9411963
way/1352504098,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8012084,144.9412637
way/1352504099,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8013419,144.941561
way/1352783422,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7894326,145.1520326
way/1353279233,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7850701,145.2404566
way/1353533250,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7772243,145.1408189
way/1353608317,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7928092,145.1587278
way/1353876438,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8064612,145.2811582
way/1353876439,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8065314,145.2814963
way/1354143362,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8097389,145.1773407
way/1354300906,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7630022,145.3532545
way/1354508278,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8415679,145.1103263
way/1354508279,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8419477,145.1102605
way/1354511233,Wattle Park Walk,wheelchair_accessible_place,,yes,,,,,True,-37.8392399,145.1070161
way/1354759231,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7644223,145.1631773
way/1354782298,Platform 2,wheelchair_accessible_place,,yes,,,Metro Trains Melbourne,,True,-37.8117922,145.2495595
way/1354782299,Platform 1,wheelchair_accessible_place,,yes,,,Metro Trains Melbourne,,True,-37.8119186,145.2496182
way/1354782368,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8194527,145.1224616
way/1354862375,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7891707,145.1512166
way/1354870122,Wheelchair Accessible Place,wheelchair_accessible_place,toilets,yes,,,,,True,-37.7141349,144.7291316
way/1355601974,Wheelchair Accessible Place,wheelchair_accessible_place,toilets,yes,,,,,True,-37.7142372,144.7293493
way/1355826372,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.9480098,145.2249298
way/1355826373,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.9488097,145.2249984
way/1355826375,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.9479924,145.2243171
way/1355826376,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.9451671,145.219715
way/1357907128,Coburg Special Developmental School,wheelchair_accessible_place,school,yes,,,State of Victoria,,True,-37.7399904,144.9765784
way/1359790029,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8037786,145.2820352
way/1360859822,Wheelchair Accessible Place,wheelchair_accessible_place,parking,yes,,,,,True,-37.8256608,145.1228866
way/1361634296,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7684633,145.1862299
way/1361634298,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7683112,145.185951
way/1361634299,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7695008,145.186392
way/1361634300,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7685891,145.1858234
way/1362078014,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-38.0532895,145.1165029
way/1363287408,Miller's Homestead,wheelchair_accessible_place,library,yes,,,Knox City Council,,True,-37.8495616,145.303262
way/1363777207,Vermont Views,wheelchair_accessible_place,social_facility,yes,,,Opal HealthCare,,True,-37.8549953,145.1807506
way/1364778975,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8856755,145.1121338
way/1364778976,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8853044,145.1101812
way/1364796680,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-38.2294377,145.0446318
way/1364796681,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-38.2292596,145.0448485
way/1364796682,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-38.2293999,145.0445416
way/1364796683,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-38.2294208,145.0446074
way/1364796684,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-38.2293813,145.0446787
way/1364796685,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-38.2293395,145.0447264
way/1364796686,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-38.229298,145.0447739
way/1364796687,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-38.2292279,145.0448344
way/1364796688,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-38.2291566,145.0448775
