osm_id,name,amenity_type,amenity,wheelchair,toilets:wheelchair,opening_hours,operator,description,is_accessible,latitude,longitude
node/12247286171,Shangri La Massage,wheelchair_accessible_place,,yes,,Mo-Su 10:00-20:00,,,True,-38.1440448,145.1248424
node/12247332001,Apparel Rock,wheelchair_accessible_place,,yes,,Mo-Sa 09:30-17:00; Su off,,,True,-38.1436273,145.1242111
node/12249154985,Impact Realty Group,wheelchair_accessible_place,,yes,,,,,True,-38.2046776,145.0990171
node/12249202462,Sundara Salon,wheelchair_accessible_place,,yes,,,,,True,-38.2046531,145.0989527
node/12249348556,Maine House Interiors,wheelchair_accessible_place,,yes,,,,,True,-38.1826851,145.0903904
node/12249370580,Family Life Op Shop,wheelchair_accessible_place,,yes,,Mo-Fr 09:00-17:00; Sa 09:00-16:00; Su 10:00-16:00,,,True,-38.1832404,145.0894087
node/12249382416,The Land Agent,wheelchair_accessible_place,,yes,,,,,True,-38.1837147,145.0882974
node/12249385322,Lash Envy Melbourne,wheelchair_accessible_place,,yes,,"Mo,Tu,Fr 09:00-17:00; We,Th 09:00-21:00; Sa 09:00-16:00",,,True,-38.1836272,145.0883694
node/12249385329,Onyx Hair Salon,wheelchair_accessible_place,,yes,,"Tu,We 09:00-17:30; Th 09:00-21:00; Fr 09:00-20:00; Sa 09:00-16:00; Su off",,,True,-38.1835268,145.088439
node/12249385442,Mount Eliza Podiatry,wheelchair_accessible_place,doctors,yes,,"Mo,Tu 09:00-15:30; Th 07:30-15:00",,,True,-38.1825847,145.0903125
node/12249387765,Buxton Real Estate,wheelchair_accessible_place,,yes,,,,,True,-38.1832205,145.0894651
node/12249401906,W Method Pilates,wheelchair_accessible_place,,yes,,,,,True,-38.1826411,145.0902346
node/12250250827,Mt Terrasse,wheelchair_accessible_place,restaurant,yes,,"We,Sa,Su 07:00-23:00+, We,Su 07:00-16:00; Mo,Tu off",,,True,-38.1841597,145.0893593
node/12251935108,Oxbridge Barber Shop,wheelchair_accessible_place,,yes,,Mo-Fr 09:00-18:30,,,True,-37.8164923,144.9595824
node/12252001572,Le Petit Gateau,wheelchair_accessible_place,cafe,yes,,"Mo-Fr 08:00-16:00; Sa,Su off",,,True,-37.8163157,144.9595571
node/12252004191,We ❤️ U,wheelchair_accessible_place,,yes,,Mo-Fr 09:00-17:00,,,True,-37.8165237,144.9594449
node/12252005154,Terrace Deli,wheelchair_accessible_place,restaurant,yes,,,,,True,-37.8165319,144.9593835
node/12252194951,7-Eleven,wheelchair_accessible_place,,yes,,,,,True,-37.817352,144.9595941
node/12252564142,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.974756,145.0661296
node/12252564143,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.9745331,145.0665925
node/12252564144,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.9746636,145.0663763
node/12252625811,Wheelchair Accessible Place,wheelchair_accessible_place,public_bookcase,yes,,24/7,Richmond Uniting Church,,True,-37.8205592,144.9987072
node/12252625812,Wheelchair Accessible Place,wheelchair_accessible_place,public_bookcase,yes,,24/7,,,True,-37.8150711,145.0366338
node/12252686946,Wheelchair Accessible Place,wheelchair_accessible_place,drinking_water,yes,,,City of Stonnington,,True,-37.8564309,145.0290994
node/12254147656,Dirty Little Secret,wheelchair_accessible_place,,yes,,,,,True,-38.1840175,145.0888178
node/12254159252,Brian's Gourmet Meats,wheelchair_accessible_place,,yes,,Mo-Fr 07:00-17:00; Sa 09:00-12:30,,,True,-38.1849349,145.0889312
node/12254161532,Bendigo Bank,wheelchair_accessible_place,bank,yes,,Mo-Fr 09:30-16:00,,,True,-38.1846287,145.0889402
node/12254161730,Barbercuts,wheelchair_accessible_place,,yes,,Mo-Fr 09:00-17:00; Sa 08:00-13:00; Su off,,,True,-38.1842228,145.0881047
node/12254162403,Marshall White,wheelchair_accessible_place,,yes,,,,,True,-38.1845427,145.0889323
node/12254168039,The Rasoi Tandoori Indian,wheelchair_accessible_place,restaurant,yes,,"Tu-Su,PH 17:00-23:00+",,,True,-38.1841753,145.0881858
node/12254169913,Physios of Mt Eliza,wheelchair_accessible_place,,yes,,Mo-Fr 08:00-19:30; Sa 08:00-13:00,,,True,-38.1842672,145.0888829
node/12254171339,Windmills and Roses,wheelchair_accessible_place,,yes,,Mo-Fr 10:00-15:00; Sa 10:00-13:00,,,True,-38.1839897,145.088476
node/12254171340,Commonwealth Bank,wheelchair_accessible_place,bank,yes,,Mo-Fr 09:30-16:00,,,True,-38.1844086,145.0889081
node/12254172707,Coastal Agents,wheelchair_accessible_place,,yes,,,,,True,-38.1842033,145.0888684
node/12254189627,Fella Hamilton,wheelchair_accessible_place,,yes,,,,,True,-38.1849889,145.0889405
node/12254806027,Wheelchair Accessible Place,wheelchair_accessible_place,public_bookcase,yes,,24/7,,,True,-37.8003134,144.949308
node/12254806029,Little Pantry & FREE Library,wheelchair_accessible_place,social_facility,yes,,24/7,West Melbourne Baptist Church & Community Centre,,True,-37.8058066,144.9478585
node/12254806030,Little Pantry & FREE Library,wheelchair_accessible_place,public_bookcase,yes,,24/7,West Melbourne Baptist Church & Community Centre,,True,-37.8058046,144.9478586
node/12259550884,Melbourne Institute Of Technology,wheelchair_accessible_place,,yes,,,,,True,-37.8102459,144.9609404
node/12259589347,Tan Hung Asian Grocer,wheelchair_accessible_place,,yes,,,,,True,-37.810963,144.9614412
