tree_id,common_name,genus,dbh_cm,useful_life_years,useful_life_label,age_description,located_in,precinct,lat,lon,shade_score,suburb_id
1049022,Lemon Bottlebrush,Callistemon,10.0,50,,Mature,Park,Parkville,-37.78975353,144.9465844,0.0004,297979799
1049026,Lemon Bottlebrush,Callistemon,10.0,50,,Mature,Park,Parkville,-37.78988233,144.9464429,0.0004,297979799
1049031,Willow Bottlebrush,Callistemon,10.0,50,,Mature,Park,Parkville,-37.78998591,144.9464221,0.0004,297979799
1049039,Willow Bottlebrush,Callistemon,10.0,50,,Mature,Park,Parkville,-37.78995802,144.9463291,0.0004,297979799
1049046,Lemon Bottlebrush,Callistemon,10.0,50,,Mature,Park,Parkville,-37.78995328,144.9463644,0.0004,297979799
1049051,Lemon Bottlebrush,Callistemon,10.0,50,,Mature,Park,Parkville,-37.7899461,144.9463922,0.0004,297979799
1049052,Lemon Bottlebrush,Callistemon,10.0,50,,Mature,Park,Parkville,-37.7899474,144.9464046,0.0004,297979799
1049056,Lemon Bottlebrush,Callistemon,10.0,50,,Mature,Park,Parkville,-37.78992157,144.9464287,0.0004,297979799
1049057,Lemon Bottlebrush,Callistemon,10.0,50,,Mature,Park,Parkville,-37.78993495,144.9464435,0.0004,297979799
1049069,River red gum,Eucalyptus,10.0,50,> 41 years,Mature,Park,Parkville,-37.79037012,144.9460236,0.0004,297979799
1049071,River red gum,Eucalyptus,12.0,50,> 41 years,Mature,Park,Parkville,-37.79035588,144.9455726,0.0005,297979799
1049075,River red gum,Eucalyptus,18.0,40,31 - 40 years,Mature,Park,Parkville,-37.7903325,144.9455588,0.0007,297979799
1049079,River red gum,Eucalyptus,14.0,40,31 - 40 years,Mature,Park,Parkville,-37.79033968,144.9455324,0.0005,297979799
1049080,River red gum,Eucalyptus,23.0,40,31 - 40 years,Mature,Park,Parkville,-37.79034498,144.9455226,0.0009,297979799
1049084,River red gum,Eucalyptus,14.0,50,> 41 years,Mature,Park,Parkville,-37.79038542,144.945458,0.0005,297979799
1049090,Lemon Bottlebrush,Callistemon,14.0,50,> 41 years,Mature,Park,Parkville,-37.79006511,144.9462666,0.0005,297979799
1040076,Spotted Gum,Corymbia,70.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81479477,144.9757142,0.0027,297979799
1040078,Moreton Bay Fig,Ficus,18.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81452077,144.9763587,0.0007,297979799
1040091,English Elm,Ulmus,95.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81448915,144.9773605,0.0037,297979799
1040093,English Elm,Ulmus,98.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81413704,144.9774075,0.0038,297979799
1040094,English Elm,Ulmus,80.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81398231,144.9773952,0.0031,297979799
1040097,English Elm,Ulmus,95.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81352426,144.9774598,0.0037,297979799
1040102,Liquidamber or Sweet Gum,Liquidambar,76.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81403105,144.976959,0.0029,297979799
1040104,Bangalay,Eucalyptus,70.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81403778,144.9765637,0.0027,297979799
1040108,Lombardy Poplar,Populus,15.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81356437,144.976679,0.0006,297979799
1040110,Lombardy Poplar,Populus,90.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81350644,144.9761809,0.0035,297979799
1040112,Winter Hazel,Corylopsis,28.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81391073,144.9759468,0.0011,297979799
1040113,Spotted Gum,Corymbia,75.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81335632,144.9761224,0.0029,297979799
1040114,Petticoat or Desert Fan Palm,Washingtonia,40.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.8133536,144.9757082,0.0015,297979799
1040116,Willow myrtle,Agonis,100.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81348404,144.9752187,0.0038,297979799
1040117,Moreton Bay Fig,Ficus,13.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81359925,144.9753412,0.0005,297979799
1040120,Moreton Bay Fig,Ficus,200.0,50,,Mature,Park,East Melbourne,-37.81372964,144.9752415,0.0077,297979799
1040127,Moreton Bay Fig,Ficus,150.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81398447,144.9757664,0.0058,297979799
