suburb_id,population_total,population_65_74,population_75_84,population_85_plus,need_assistance
208021178,18075,2078,1079,649,1138
208021179,11904,1085,563,273,525
208021180,7563,532,371,214,446
208021181,9369,752,403,195,435
208021182,13128,1022,528,171,511
208021426,16583,1209,723,379,756
208021427,14057,1220,718,458,759
208031183,8853,758,452,159,413
208031184,31,0,0,3,0
208031185,12032,1430,721,252,573
208031186,15204,1568,919,478,1013
208031187,5393,543,341,111,278
208031188,24085,2135,1513,961,1622
208031189,13563,1105,722,261,602
208031190,13197,1299,889,403,733
208031191,9116,781,478,210,478
208031192,26,0,0,0,0
208031193,21199,1958,1082,558,1070
208041194,20239,1926,1417,659,841
208041195,21923,1921,1144,651,1030
209011196,9831,956,741,269,671
209011197,20807,2397,1284,524,1171
209011198,16039,1381,1016,674,1016
209011199,14852,1133,514,264,1106
209011200,12458,1274,651,363,703
209011201,7740,935,489,201,262
209011202,16539,1921,1116,349,785
209011203,18733,1799,1268,558,1109
209011204,9236,891,596,204,607
209021205,10408,653,491,275,586
209021428,20711,1354,875,432,1410
209021429,12696,897,593,301,702
209021523,14795,1023,805,442,1270
209021524,9801,1017,992,475,1061
209021525,12799,1074,725,522,1002
209021526,14090,924,569,320,873
209031209,23444,2686,1161,307,877
209031210,3554,372,155,26,132
209031211,4204,429,139,24,188
209031212,5091,704,271,54,142
209031213,9454,935,464,240,495
209031214,6935,710,307,67,224
209031215,14417,1237,551,183,653
209041216,7350,556,299,157,463
209041217,6186,743,508,172,511
209041220,17470,1735,707,288,1211
209041221,11240,1212,506,129,765
209041223,19998,2255,1581,536,2140
209041224,22627,1457,524,106,1048
209041225,10661,1017,527,251,658
209041431,13144,1064,587,347,802
209041432,8204,861,411,170,775
209041433,12143,533,172,47,532
209041435,12595,629,215,45,518
209041436,12392,903,576,335,878
209041437,24407,854,253,48,797
209041527,16299,1001,418,63,645
209041528,10471,501,178,21,427
209041529,9947,987,739,293,1047
209041530,13513,1146,813,350,1256
209041531,11427,742,352,51,505
209041532,11940,449,154,29,471
210011226,8173,770,562,265,580
210011227,13,0,0,0,0
210011228,8548,1068,751,285,602
210011230,7460,611,337,216,388
210011231,10031,988,462,213,407
210011533,12388,1424,1280,607,1375
210011534,15073,1479,1452,514,1230
210021232,14222,1326,742,254,683
210021233,3523,500,205,34,111
210021234,4457,493,223,33,152
210021235,10765,1169,532,99,527
210031236,8425,489,408,337,636
210031237,14002,888,781,520,1242
210031439,3111,228,204,71,131
210031440,6241,441,417,231,531
210031535,14783,907,740,508,1264
210031536,8857,463,406,319,634
210031537,7898,482,295,204,391
210031538,17214,1039,726,607,1095
210041240,13671,1266,519,183,794
210041539,5237,314,94,14,214
210041540,14985,1429,812,380,1111
210041541,11166,970,401,110,652
210051242,13859,858,562,221,1275
210051243,16057,1246,938,327,1803
210051245,18024,2094,1173,352,1476
210051246,22095,1668,627,132,1128
210051247,14890,1106,530,108,1570
210051248,126,14,8,0,4
210051250,6576,738,466,117,533
210051441,8099,615,224,59,592
