sensor_id,sensor_name,sensor_description,location_type,status,lat,lon,direction_1,direction_2,suburb_id,suburb_name
67,FLDegS_T,Flinders Ln -Degraves St (South),Outdoor,A,-37.81688755,144.96562569,East,West,206041503,Melbourne CBD - East
68,FLDegN_T,Flinders Ln -Degraves St (North),Outdoor,A,-37.8168479,144.96559789,East,West,206041503,Melbourne CBD - East
69,FLDegC_T,Flinders Ln -Degraves St (Crossing),Outdoor,A,-37.81687226,144.96559144,North,South,206041503,Melbourne CBD - East
70,Errol20_T,Errol Street (East),Outdoor,A,-37.80456984,144.94946228,North,South,206041510,West Melbourne - Residential
71,WestWP_T,Westwood Place,Outdoor,A,-37.81235775,144.97136962,North,South,206041503,Melbourne CBD - East
72,ACMI_T,Flinders St- ACMI,Outdoor,A,-37.81726338,144.96872809,East,West,206041503,Melbourne CBD - East
75,SprFli_T,Spring St- Flinders st (West),Outdoor,A,-37.81515276,144.97467661,North,South,206041503,Melbourne CBD - East
76,KenMac_T,Macaulay Rd- Bellair St,Outdoor,A,-37.79453803,144.93036194,East,West,206041121,Kensington (Vic.)
77,HarEsP_T,Harbour Esplanade (West) - Pedestrian path,Outdoor,A,-37.81441438,144.94433026,North,South,206041118,Docklands
78,HarEsB_T,Harbour Esplanade (West) - Bike Path,Outdoor,A,-37.81471642,144.9446508,North,South,206041118,Docklands
79,FliSS_T,Flinders St (South),Outdoor,A,-37.81794046,144.96616678,East,West,206041503,Melbourne CBD - East
80,BoCoR_T,Boyd Commuinty - Rear door,Indoor,A,-37.8254567,144.96131206,,,206041509,Southbank - East
81,BoCoF_T,Boyd Commuinty - Front door,Indoor,A,-37.82579138,144.96084343,,,206041508,Southbank (West) - South Wharf
82,Eli512_T,512 Elizabeth Street,Indoor,A,-37.80667227,144.96005554,,,206041504,Melbourne CBD - North
83,Eli510_T,510 Elizabeth Street,Indoor,A,-37.8067319,144.96005113,,,206041504,Melbourne CBD - North
84,ElFi_T,Elizabeth St - Flinders St (East) - New footpath,Outdoor,A,-37.81798049,144.96503383,North,South,206041505,Melbourne CBD - West
85,488Mac_T,Macaulay Rd (North),Outdoor,A,-37.79432415,144.92973378,East,West,206041121,Kensington (Vic.)
86,574Qub_T,Queensberry St - Errol St (South),Outdoor,A,-37.80309992,144.94908064,East,West,206041506,North Melbourne
87,Errol23_T,Errol St (West),Outdoor,A,-37.80454949,144.94921863,North,South,206041510,West Melbourne - Residential
89,CityLi_T,City Library,Indoor,A,-37.81685964,144.96586575,,,206041503,Melbourne CBD - East
90,BoCoL_T,Boyd Community Hub- Library,Indoor,A,-37.82556207,144.96115421,,,206041509,Southbank - East
91,DocLib1_T,Library at The Dock-North side,Indoor,A,-37.8200188,144.94029861,,,206041118,Docklands
92,DocLib2_T,Library at The Dock-South side,Indoor,A,-37.82016286,144.94039584,,,206041118,Docklands
93,EastLib_T,East Melbourne Library,Indoor,A,-37.81498411,144.98638807,,,206041119,East Melbourne
94,FitConVis_T,Fitzroy Garden- The Conservatory,Indoor,A,-37.81424531,144.97851861,,,206041119,East Melbourne
95,FitGarExtVisExt_T,Fitzroy Garden Visitor Centre External,Indoor,A,-37.81488315,144.97926569,,,206041119,East Melbourne
96,FitGarVisIInt_T,Fitzroy Garden Visitor Centre Internal,Indoor,A,-37.81499687,144.97925064,,,206041119,East Melbourne
99,TownVis_T,Town Hall Visitor Centre,Indoor,A,-37.81462143,144.96623279,,,206041503,Melbourne CBD - East
102,NtMelLib_T,North Melbourne Library,Indoor,A,-37.80340543,144.94977011,,,206041510,West Melbourne - Residential
103,KenTown_T,Kensington Town Hall,Indoor,A,-37.7893527,144.9286055,,,206041121,Kensington (Vic.)
104,KatLib1_T,Kathleen Syme Library Main,Indoor,A,-37.79863553,144.96548206,,,206041117,Carlton
