stop_id,stop_name,lat,lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id,platform_code,mode,stop_code,is_wheelchair_accessible,is_wheelchair_inaccessible,suburb_id,suburb_name,routes_served,route_count
15601,Betula Ave/McKimmies Rd,-37.67787582,145.05907587,https://transport.vic.gov.au/stop/11252/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15601,False,False,209041221,Mill Park - South,"382,564",2
15604,Burwood Hwy/Scoresby Rd,-37.87702692,145.25752082,https://transport.vic.gov.au/stop/13597/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15604,False,False,211011447,Ferntree Gully - North,"753,755",2
15605,Hugh St/Scoresby Rd,-37.87987458,145.25751057,https://transport.vic.gov.au/stop/16262/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15605,False,False,211011447,Ferntree Gully - North,"753,755",2
15606,Cambden Park Pde/Scoresby Rd,-37.88245213,145.25751804,https://transport.vic.gov.au/stop/14999/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15606,False,False,211011447,Ferntree Gully - North,"753,755",2
15607,Norma Cres/Scoresby Rd,-37.88486736,145.25751797,https://transport.vic.gov.au/stop/16264/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15607,False,False,211011448,Ferntree Gully (South) - Upper Ferntree Gully,"753,755",2
15608,Sandgate Bvd/Scoresby Rd,-37.88687685,145.25750472,https://transport.vic.gov.au/stop/15001/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15608,False,False,211011257,Rowville - North,"753,755",2
15609,Anne Rd/Scoresby Rd,-37.88848144,145.25753512,https://transport.vic.gov.au/stop/16266/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15609,False,False,211011257,Rowville - North,"753,755",2
15610,Ferntree Gully Rd/Scoresby Rd,-37.89070731,145.25752813,https://transport.vic.gov.au/stop/15003/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15610,False,False,211011257,Rowville - North,"753,755",2
15611,Ferntree Gully Rd/Windermere Dr,-37.88902877,145.26346948,https://transport.vic.gov.au/stop/15004/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15611,False,False,211011448,Ferntree Gully (South) - Upper Ferntree Gully,755,1
15612,Elton Rd/Windermere Dr,-37.89178765,145.26538337,https://transport.vic.gov.au/stop/15005/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15612,False,False,211011448,Ferntree Gully (South) - Upper Ferntree Gully,755,1
15613,Lumeah Cres/Windermere Dr,-37.89307739,145.26484136,https://transport.vic.gov.au/stop/15006/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15613,False,False,211011257,Rowville - North,755,1
15614,Windermere Reserve/Windermere Dr,-37.89519373,145.261687,https://transport.vic.gov.au/stop/15007/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15614,False,False,211011257,Rowville - North,755,1
15615,Brunton Way/Windermere Dr,-37.89664867,145.26012884,https://transport.vic.gov.au/stop/16272/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15615,False,False,211011257,Rowville - North,755,1
15616,Lucerne Rd/Windermere Dr,-37.89775359,145.26354878,https://transport.vic.gov.au/stop/15009/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15616,False,False,211011257,Rowville - North,755,1
15617,Chelmsford Ct/Windermere Dr,-37.89678915,145.26598245,https://transport.vic.gov.au/stop/16274/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15617,False,False,211011257,Rowville - North,755,1
15618,Bryden Dr/Windermere Dr,-37.89580024,145.26737035,https://transport.vic.gov.au/stop/15011/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15618,False,False,211011257,Rowville - North,755,1
15619,Sharna Ct/Mountain Gate Dr,-37.8932381,145.26902252,https://transport.vic.gov.au/stop/16276/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15619,False,False,211011448,Ferntree Gully (South) - Upper Ferntree Gully,755,1
1562,Dandenong Rd/Warrigal Rd,-37.89448819,145.08780052,https://transport.vic.gov.au/stop/10003/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,1562,False,False,208021180,Hughesdale,"625,742,800,802,804,862,903",7
15620,Avon Ct/Mountain Gate Dr,-37.89206364,145.27066484,https://transport.vic.gov.au/stop/15013/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15620,False,False,211011448,Ferntree Gully (South) - Upper Ferntree Gully,755,1
15621,Faith St/Mountain Gate Dr,-37.89082977,145.27255868,https://transport.vic.gov.au/stop/16278/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15621,False,False,211011448,Ferntree Gully (South) - Upper Ferntree Gully,755,1
15622,Monica Ct/Mountain Gate Dr,-37.88924284,145.27496104,https://transport.vic.gov.au/stop/15015/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15622,False,False,211011448,Ferntree Gully (South) - Upper Ferntree Gully,755,1
