suburb_id,suburb_name,centroid_lat,centroid_lng
201011001,Alfredton,-37.541752512576096,143.74931999264615
201011002,Ballarat,-37.556156947914054,143.83664772146062
201011005,Buninyong,-37.643867509552656,143.8807716783235
201011006,Delacombe,-37.58224401574294,143.7784661771825
201011007,Smythes Creek,-37.620260242372495,143.74620721896895
201011008,Wendouree - Miners Rest,-37.49756459153087,143.80254329831433
201011481,Ballarat East - Warrenheip,-37.570085757246275,143.9076024773677
201011482,Ballarat North - Invermay,-37.51587256526118,143.8973381642486
201011483,Canadian - Mount Clear,-37.59240951647122,143.87417582259783
201011484,Sebastopol - Redan,-37.59518526786312,143.83646844906644
201021009,Bacchus Marsh Surrounds,-37.63017832378217,144.30968063120886
201021010,Creswick - Clunes,-37.35413430805209,143.83544627440665
201021011,Daylesford,-37.31774846875166,144.1858143936124
201021012,Gordon (Vic.),-37.64723647873772,144.03939635015647
201031013,Avoca,-37.108873252822114,143.3738168739059
201031014,Beaufort,-37.49585177766746,143.39331017323678
201031015,Golden Plains - North,-37.775585876853825,143.62664111358364
201031016,Maryborough (Vic.),-37.04747799424529,143.74405937920804
201031017,Maryborough Surrounds,-36.98115152605688,143.70690703899217
202011018,Bendigo,-36.7483335854863,144.27024728573315
202011019,California Gully - Eaglehawk,-36.70666818362076,144.26069587093878
202011020,East Bendigo - Kennington,-36.75233432204074,144.31556606188454
202011021,Flora Hill - Spring Gully,-36.791628131555,144.28712159804647
202011022,Kangaroo Flat - Golden Square,-36.80639028541716,144.2426496162728
202011023,Maiden Gully,-36.75386853947435,144.20787496432027
202011024,Strathfieldsaye,-36.78882918618765,144.3589458584102
202011025,White Hills - Ascot,-36.67623943506374,144.32175362185032
202021026,Bendigo Surrounds - South,-36.843343824977545,144.24569545557023
202021027,Castlemaine,-37.08347094206818,144.23691621331346
202021028,Castlemaine Surrounds,-37.04685138910389,144.1897800937766
202021029,Heathcote,-36.86073339568221,144.647680660662
202021030,Kyneton,-37.22141883104309,144.5051426692295
202021031,Woodend,-37.35631875583,144.51737348773554
202031032,Bendigo Surrounds - North,-36.562330299857024,144.3679069861673
202031033,Loddon,-36.33956082625219,143.85674520385479
