stop_id,hour,departure_count,mode,avg_departures_per_hour
11201,11,31,train,6.2
11199,11,31,train,6.2
11205,12,31,train,6.2
11208,12,52,train,10.4
11197,12,55,train,11.0
11198,12,55,train,11.0
11200,12,31,train,6.2
11202,12,31,train,6.2
11203,12,31,train,6.2
11209,12,79,train,15.8
11206,12,31,train,6.2
11204,12,31,train,6.2
11201,12,31,train,6.2
11199,12,31,train,6.2
11205,13,31,train,6.2
11208,13,31,train,6.2
11198,13,62,train,12.4
11197,13,62,train,12.4
11209,13,65,train,13.0
11206,13,31,train,6.2
11204,13,31,train,6.2
11201,13,31,train,6.2
11199,13,31,train,6.2
11200,13,31,train,6.2
11202,13,31,train,6.2
11203,13,31,train,6.2
11198,14,69,train,13.8
11197,14,69,train,13.8
11205,14,31,train,6.2
11208,14,31,train,6.2
11209,14,65,train,13.0
11206,14,31,train,6.2
11204,14,31,train,6.2
11201,14,31,train,6.2
11199,14,31,train,6.2
11200,14,31,train,6.2
11202,14,31,train,6.2
11203,14,31,train,6.2
11208,15,45,train,9.0
11209,20,42,train,8.4
11206,20,16,train,3.2
11204,20,16,train,3.2
11201,20,16,train,3.2
11199,20,16,train,3.2
11209,21,42,train,8.4
11206,21,18,train,3.6
11204,21,18,train,3.6
11201,21,18,train,3.6
11199,21,18,train,3.6
11198,21,36,train,7.2
11197,21,36,train,7.2
11208,20,30,train,6.0
11200,21,18,train,3.6
11202,21,18,train,3.6
11203,21,18,train,3.6
11205,21,18,train,3.6
11208,21,23,train,4.6
11209,22,39,train,7.8
11206,22,18,train,3.6
11204,22,18,train,3.6
11201,22,18,train,3.6
11199,22,18,train,3.6
11198,22,36,train,7.2
11197,22,36,train,7.2
11200,22,18,train,3.6
11202,22,18,train,3.6
11203,22,18,train,3.6
11205,22,18,train,3.6
11208,22,23,train,4.6
11209,23,34,train,6.8
11206,23,18,train,3.6
11204,23,18,train,3.6
11201,23,18,train,3.6
11199,23,18,train,3.6
11198,23,36,train,7.2
11197,23,36,train,7.2
11200,23,18,train,3.6
11202,23,18,train,3.6
11203,23,18,train,3.6
11205,23,18,train,3.6
11208,23,22,train,4.4
11209,0,24,train,4.8
11206,0,21,train,4.2
11204,0,18,train,3.6
11201,0,18,train,3.6
11199,0,18,train,3.6
11198,0,27,train,5.4
11197,0,27,train,5.4
11200,0,9,train,1.8
11202,0,9,train,1.8
11203,0,9,train,1.8
11205,0,9,train,1.8
11208,0,15,train,3.0
11207,5,32,train,6.4
12238,5,23,train,4.6
12241,5,23,train,4.6
12244,5,23,train,4.6
12248,5,23,train,4.6
12260,6,67,train,13.4
12200,6,68,train,13.6
12198,6,61,train,12.2
12196,6,68,train,13.6
22189,6,68,train,13.6
11213,14,89,train,17.8
22189,14,86,train,17.2
12196,14,86,train,17.2
12198,14,86,train,17.2
12200,14,79,train,15.8
12261,14,79,train,15.8
12252,14,45,train,9.0
12250,14,45,train,9.0
12246,14,14,train,2.8
12243,14,14,train,2.8
12240,14,14,train,2.8
11200,6,24,train,4.8
11202,6,24,train,4.8
11203,6,24,train,4.8
11205,6,23,train,4.6
11207,6,67,train,13.4
12238,6,30,train,6.0
12241,6,44,train,8.8
12244,6,23,train,4.6
12248,6,23,train,4.6
11214,14,69,train,13.8
11209,15,65,train,13.0
11206,15,31,train,6.2
11204,15,24,train,4.8
11201,15,24,train,4.8
11199,15,24,train,4.8
12200,15,135,train,27.0
12261,15,142,train,28.4
12252,15,87,train,17.4
12250,15,87,train,17.4
12246,15,49,train,9.8
12243,15,49,train,9.8
12240,15,42,train,8.4
12241,7,65,train,13.0
12244,7,65,train,13.0
12248,7,58,train,11.6
12260,7,136,train,27.2
12200,7,125,train,25.0
12198,7,132,train,26.4
12196,7,125,train,25.0
22189,7,118,train,23.6
22189,15,142,train,28.4
12196,15,142,train,28.4
12198,15,135,train,27.0
11200,7,24,train,4.8
11202,7,24,train,4.8
11203,7,24,train,4.8
11205,7,25,train,5.0
11207,7,58,train,11.6
12238,7,58,train,11.6
11213,7,118,train,23.6
12200,8,167,train,33.4
12198,8,160,train,32.0
12196,8,160,train,32.0
22189,8,160,train,32.0
11213,8,139,train,27.8
22189,16,128,train,25.6
12196,16,128,train,25.6
12198,16,128,train,25.6
12200,16,135,train,27.0
12261,16,128,train,25.6
11200,8,31,train,6.2
11202,8,31,train,6.2
11203,8,31,train,6.2
11205,8,24,train,4.8
11207,8,59,train,11.8
12238,8,59,train,11.8
12241,8,59,train,11.8
12244,8,59,train,11.8
12248,8,66,train,13.2
12260,8,157,train,31.4
22189,19,76,train,15.2
12196,19,76,train,15.2
12198,19,83,train,16.6
12200,19,84,train,16.8
12261,19,83,train,16.6
12252,19,30,train,6.0
12250,19,44,train,8.8
12246,19,9,train,1.8
12200,9,104,train,20.8
12198,9,111,train,22.2
12196,9,118,train,23.6
22189,9,125,train,25.0
11214,9,97,train,19.4
12238,9,59,train,11.8
12241,9,59,train,11.8
12244,9,59,train,11.8
12248,9,52,train,10.4
12260,9,94,train,18.8
11213,9,118,train,23.6
11204,1,8,train,1.6
11201,1,8,train,1.6
11199,1,8,train,1.6
11198,1,12,train,2.4
11197,1,12,train,2.4
11200,1,4,train,0.8
11202,1,4,train,0.8
11203,1,4,train,0.8
11205,1,4,train,0.8
11207,1,9,train,1.8
11206,1,5,train,1.0
11207,2,8,train,1.6
11206,2,4,train,0.8
11204,2,4,train,0.8
11201,2,4,train,0.8
11199,2,4,train,0.8
11198,2,8,train,1.6
11197,2,8,train,1.6
11200,2,4,train,0.8
11202,2,4,train,0.8
11203,2,4,train,0.8
11205,2,4,train,0.8
11197,4,3,train,0.6
11198,4,3,train,0.6
11208,7,32,train,6.4
11208,8,38,train,7.6
11208,9,38,train,7.6
11208,16,59,train,11.8
11208,17,73,train,14.6
11208,18,66,train,13.2
11208,19,54,train,10.8
11207,21,24,train,4.8
11207,22,24,train,4.8
11207,23,24,train,4.8
11207,0,19,train,3.8
11207,3,2,train,0.4
11206,3,1,train,0.2
11204,3,1,train,0.2
11201,3,1,train,0.2
11199,3,1,train,0.2
11198,3,2,train,0.4
11197,3,2,train,0.4
11200,3,1,train,0.2
11202,3,1,train,0.2
11203,3,1,train,0.2
11205,3,1,train,0.2
11207,4,3,train,0.6
11206,4,2,train,0.4
11204,4,1,train,0.2
11201,4,1,train,0.2
11199,4,1,train,0.2
11200,4,1,train,0.2
11202,4,1,train,0.2
11203,4,1,train,0.2
11205,4,1,train,0.2
11215,19,52,train,10.4
26130,20,5,train,1.0
26267,20,2,train,0.4
26316,20,2,train,0.4
26186,20,2,train,0.4
26129,20,2,train,0.4
26108,20,2,train,0.4
26101,20,2,train,0.4
26108,21,8,train,1.6
26101,21,8,train,1.6
26129,21,8,train,1.6
26186,21,8,train,1.6
26316,21,8,train,1.6
26267,21,8,train,1.6
26130,21,36,train,7.2
26130,22,32,train,6.4
26108,22,8,train,1.6
26101,22,8,train,1.6
26129,22,8,train,1.6
26186,22,8,train,1.6
26316,22,8,train,1.6
26267,22,8,train,1.6
26130,23,28,train,5.6
26108,23,8,train,1.6
26101,23,8,train,1.6
26129,23,8,train,1.6
26186,23,8,train,1.6
26316,23,8,train,1.6
26267,23,8,train,1.6
26130,0,18,train,3.6
26108,0,6,train,1.2
26101,0,6,train,1.2
26129,0,7,train,1.4
26186,0,7,train,1.4
26316,0,7,train,1.4
26267,0,7,train,1.4
26108,1,1,train,0.2
26101,1,1,train,0.2
11120,12,34,train,6.8
11121,12,34,train,6.8
11122,12,17,train,3.4
11245,12,17,train,3.4
11247,12,17,train,3.4
11249,12,17,train,3.4
11410,12,17,train,3.4
11412,12,17,train,3.4
12237,12,34,train,6.8
12234,12,34,train,6.8
12232,12,34,train,6.8
12230,12,34,train,6.8
12226,12,34,train,6.8
12225,12,34,train,6.8
12221,12,34,train,6.8
26535,12,41,train,8.2
12212,13,34,train,6.8
12210,13,34,train,6.8
12206,13,34,train,6.8
11207,13,34,train,6.8
12238,13,34,train,6.8
12241,13,34,train,6.8
12244,13,34,train,6.8
12248,13,34,train,6.8
12260,13,34,train,6.8
11213,13,75,train,15.0
12207,6,16,train,3.2
12211,6,16,train,3.2
12213,6,16,train,3.2
26536,6,16,train,3.2
12222,6,30,train,6.0
12224,6,30,train,6.0
12227,6,37,train,7.4
12229,6,30,train,6.0
12231,6,30,train,6.0
12233,6,30,train,6.0
12237,6,60,train,12.0
11413,6,16,train,3.2
11411,6,17,train,3.4
11409,6,17,train,3.4
11248,6,16,train,3.2
11246,6,30,train,6.0
11123,7,23,train,4.6
11121,7,68,train,13.6
11120,7,29,train,5.8
11249,13,17,train,3.4
11410,13,17,train,3.4
11412,13,17,train,3.4
12237,13,34,train,6.8
12234,13,34,train,6.8
12232,13,34,train,6.8
12230,13,34,train,6.8
12226,13,34,train,6.8
12225,13,34,train,6.8
12221,13,34,train,6.8
26535,13,34,train,6.8
12235,6,14,train,2.8
11413,7,23,train,4.6
11411,7,16,train,3.2
11409,7,16,train,3.2
11248,7,17,train,3.4
11246,7,24,train,4.8
11119,7,39,train,7.8
11120,13,34,train,6.8
11121,13,34,train,6.8
11122,13,17,train,3.4
11245,13,17,train,3.4
11247,13,17,train,3.4
12212,14,34,train,6.8
12210,14,34,train,6.8
12206,14,34,train,6.8
11207,14,48,train,9.6
12238,14,34,train,6.8
12241,14,41,train,8.2
12244,14,27,train,5.4
12248,14,27,train,5.4
12260,14,48,train,9.6
12208,6,14,train,2.8
12209,7,42,train,8.4
12214,7,42,train,8.4
26537,7,42,train,8.4
12223,7,56,train,11.2
12224,7,59,train,11.8
12227,7,59,train,11.8
12229,7,38,train,7.6
12231,7,38,train,7.6
12233,7,38,train,7.6
12235,7,35,train,7.0
11249,14,17,train,3.4
11410,14,17,train,3.4
11412,14,17,train,3.4
12236,14,14,train,2.8
12234,14,34,train,6.8
12232,14,34,train,6.8
12230,14,34,train,6.8
12226,14,34,train,6.8
12225,14,34,train,6.8
12221,14,34,train,6.8
26535,14,34,train,6.8
12261,7,76,train,15.2
12228,7,14,train,2.8
11411,8,24,train,4.8
11409,8,24,train,4.8
11248,8,24,train,4.8
11246,8,23,train,4.6
11123,8,17,train,3.4
11121,8,41,train,8.2
11120,8,31,train,6.2
11120,14,34,train,6.8
11121,14,34,train,6.8
11122,14,17,train,3.4
11245,14,17,train,3.4
11247,14,17,train,3.4
12212,15,55,train,11.0
12210,15,55,train,11.0
12206,15,55,train,11.0
12208,7,42,train,8.4
12209,8,49,train,9.8
12214,8,49,train,9.8
26537,8,49,train,9.8
12223,8,63,train,12.6
12224,8,59,train,11.8
12228,8,42,train,8.4
12229,8,45,train,9.0
12231,8,38,train,7.6
12233,8,38,train,7.6
12235,8,35,train,7.0
11413,8,17,train,3.4
11249,15,17,train,3.4
11410,15,17,train,3.4
11412,15,17,train,3.4
12236,15,21,train,4.2
12234,15,55,train,11.0
12232,15,55,train,11.0
12230,15,55,train,11.0
12226,15,55,train,11.0
12225,15,62,train,12.4
12221,15,62,train,12.4
26535,15,48,train,9.6
