landmark_id,name,theme,sub_theme,lat,lng
1,Carlton Football Club,Leisure/Recreation,Major Sports & Recreation Facility,-37.7840864379557,144.961967841559
2,Carlton Gardens Primary School,Education Centre,Primary Schools,-37.8020953835112,144.969406272035
3,Kings Domain,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8255239795833,144.974107925144
4,Melbourne Grammar School,Education Centre,Secondary Schools,-37.8342561018747,144.976285045233
5,Southgate Arts and Leisure Precinct,Mixed Use,Retail/Office/Carpark,-37.8202245786597,144.965989052839
6,Australian Centre for Contemporary Art,Place Of Assembly,Art Gallery/Museum,-37.8266045432686,144.967252924593
7,SBS (Special Broadcasting Service),Office,Office,-37.8176921210305,144.968740597156
8,Federation Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8178516571684,144.968963600783
9,Royal Womens Hospital,Health Services,Public Hospital,-37.7988892460088,144.954897253856
10,South Kensington Railway Station,Transport,Railway Station,-37.7997270537735,144.925837749713
11,National Sports Museum,Place Of Assembly,Art Gallery/Museum,-37.8189544909462,144.984669809381
12,Flagstaff Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8111222889277,144.954696055235
13,North Melbourne Primary School,Education Centre,Primary Schools,-37.7986737155551,144.951065772876
14,Westgate Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8314918578874,144.908824792698
15,St Mary's Anglican Church,Place of Worship,Church,-37.8031663672997,144.953761537074
16,Flagstaff Railway Station,Transport,Railway Station,-37.8122356514626,144.956318211113
17,Newmarket Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7878473341234,144.922972125346
18,J.J Holland Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7982358832177,144.923837074813
19,Royal Childrens Hospital,Health Services,Public Hospital,-37.7942060847278,144.950048264678
20,Riverside Park,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",-37.7948375315825,144.915607065132
21,Fitzroy Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8129616331579,144.980455714669
22,Peter Maccallum Cancer Institute,Health Services,Public Hospital,-37.8114766732026,144.977400949063
23,The Melbourne Athenaeum Library,Place Of Assembly,Library,-37.8148855756416,144.967291289941
24,Romanian Orthodox,Place of Worship,Church,-37.8052307297468,144.966986444597
25,St Michaels,Place of Worship,Church,-37.7940512679297,144.945399480629
26,Ukranian Catholic Cathedral,Place of Worship,Church,-37.7963084580345,144.944313454028
27,The Parish of Christ Church South Yarra,Place of Worship,Church,-37.8386270533576,144.986009385387
28,Queen Victoria Market,Retail,Retail,-37.8075002018073,144.957158515056
29,State Library Victoria,Community Use,Public Buildings,-37.8099852201226,144.964330322397
